Gen	t_n9	t_n10	t_n11	t_n12	t_n13	t_n14	t_n15	mu1	mu2	mu3	sigma2_1	sigma2_2	sigma2_3	lnL
7345000	5.0130742	3.1595547	2.5351262	1.4362531	1.1514007	0.6488259	0.4849976	0.0056879	0.0037324	0.0187282	0.1813106	0.0800592	0.2220457	-13.071
7350000	5.4617022	3.2742765	2.5912036	1.5401416	1.1192119	0.7716487	0.6090004	0.0048901	0.0031663	0.0183488	0.1059159	0.0403424	0.1498543	-23.028
7355000	5.0892640	3.2705947	2.6447594	1.4608378	1.2243360	0.8033925	0.6564148	0.0048112	0.0036197	0.0161466	0.0559010	0.0641915	0.0508426	-19.255
7360000	5.0198887	3.2776108	2.5217294	1.4755363	1.0617544	0.7097347	0.5392472	0.0052171	0.0034210	0.0191563	0.0327215	0.0776606	0.0587324	-10.930
7365000	5.1637381	3.0486174	2.4479538	1.4985632	0.8976925	0.5914817	0.4761525	0.0058627	0.0044529	0.0194174	0.0878907	0.1296378	0.2478389	-22.423
7370000	5.0256013	3.2555930	2.5603656	1.5467771	1.1136776	0.6966406	0.5446037	0.0046071	0.0041478	0.0216423	0.0486024	0.1216302	0.0979110	-18.270
7375000	5.0830447	3.2752739	2.6556796	1.5911266	1.1986817	0.7641852	0.6104203	0.0059432	0.0036044	0.0198046	0.0795325	0.1561863	0.0766778	-13.343
7380000	5.1695784	3.2567692	2.5758712	1.3963941	0.9075513	0.5547068	0.4460914	0.0052923	0.0037148	0.0197816	0.0847423	0.1590765	0.0728524	-20.706
7385000	5.0532214	3.2371191	2.5501717	1.3837921	1.0594523	0.6800963	0.5110571	0.0054818	0.0038198	0.0204581	0.1181241	0.0263937	0.0791487	-20.775
7390000	5.0455324	3.2007099	2.4934958	1.4104072	1.0039241	0.6725641	0.5150055	0.0056073	0.0032400	0.0218024	0.0550938	0.1779628	0.0769795	-22.929
7395000	5.4143255	3.2324682	2.5965592	1.3903139	1.2590631	0.6784816	0.5370304	0.0050179	0.0033802	0.0171088	0.1209285	0.0997734	0.0884556	-20.604
7400000	5.1516525	3.2122861	2.4291291	1.4128019	1.0655071	0.6932688	0.5427353	0.0049786	0.0036790	0.0208667	0.0663629	0.1080610	0.0798377	-21.487
7405000	5.0606389	3.2849036	2.6695535	1.4440596	0.9953981	0.6771924	0.5169095	0.0051887	0.0032537	0.0196838	0.0932907	0.0460102	0.2378372	-13.837
7410000	5.0089727	3.2473587	2.5359468	1.4060127	1.1721278	0.7285805	0.5330851	0.0054369	0.0033231	0.0165785	0.0976670	0.0696733	0.0753344	-16.581
7415000	5.0527050	3.2531494	2.6649950	1.5563015	1.0487304	0.7284255	0.5624197	0.0047054	0.0034263	0.0195810	0.0347774	0.0504691	0.1436888	-16.709
7420000	5.0594941	3.1703078	2.6333790	1.5121702	0.9081288	0.5900606	0.4259393	0.0052047	0.0043526	0.0211870	0.2209827	0.1838521	0.0990252	-21.527
7425000	5.2321650	3.2673830	2.6745623	1.4596136	1.0398382	0.6661727	0.5242173	0.0045653	0.0035906	0.0188161	0.1152357	0.0937224	0.1173155	-15.336
7430000	5.1540171	3.2705800	2.6910564	1.4086823	1.1455393	0.7267822	0.5330308	0.0048081	0.0032817	0.0181898	0.0579889	0.0940204	0.0596204	-19.007
7435000	5.1997347	3.2118595	2.5799173	1.5937188	1.0849126	0.5815622	0.4127553	0.0054050	0.0035170	0.0195450	0.1297945	0.0878382	0.2947638	-22.009
7440000	5.0524307	3.2723884	2.4841598	1.4659024	1.0757137	0.7170634	0.5012516	0.0050569	0.0031597	0.0188884	0.0432607	0.1046613	0.0794212	-15.686
7445000	5.2665123	3.2311506	2.6441524	1.4613815	0.9865018	0.7034415	0.5349550	0.0057483	0.0030404	0.0195859	0.0917342	0.1027035	0.0947347	-18.871
7450000	5.0758689	3.1669771	2.6108595	1.6612354	1.0049181	0.6577958	0.5130903	0.0053163	0.0035077	0.0204098	0.1675049	0.1268277	0.1312506	-16.505
7455000	5.0740358	3.2574821	2.6256264	1.3815387	1.0095046	0.6860867	0.5053694	0.0057304	0.0038896	0.0200483	0.0731393	0.0669126	0.1549460	-15.595
7460000	5.1858853	3.2497420	2.6652354	1.4283331	1.0781542	0.7512001	0.5387136	0.0049307	0.0031955	0.0176017	0.0527742	0.0716549	0.1090688	-20.578
7465000	5.0877380	3.2855792	2.6009365	1.5242062	1.0922872	0.7646679	0.5875413	0.0047799	0.0030564	0.0184791	0.0405412	0.0218606	0.1114188	-21.116
7470000	5.0351380	3.2850503	2.6600829	1.6239114	1.3197958	0.8664262	0.6703361	0.0047319	0.0029684	0.0156200	0.0614645	0.1271974	0.0816718	-15.307
7475000	5.0003214	3.2809469	2.5826402	1.4938855	1.0821725	0.6925470	0.5382757	0.0051689	0.0035651	0.0185665	0.0554970	0.0632267	0.0746055	-22.241
7480000	5.4095477	3.2850484	2.5126991	1.4847810	1.1176885	0.7221241	0.5630637	0.0050450	0.0036926	0.0181625	0.0402825	0.0602819	0.0761264	-18.487
7485000	5.0545998	3.2718763	2.6143700	1.7133460	1.0614805	0.7473246	0.5457782	0.0054935	0.0037673	0.0177310	0.0820903	0.1163955	0.0977428	-21.626
7490000	5.0299348	3.2284226	2.4662092	1.4094957	1.0030147	0.6342148	0.4804806	0.0052771	0.0036255	0.0195536	0.0316308	0.0460316	0.0352845	-28.605
7495000	5.0291748	3.2232729	2.6561621	1.4141325	1.0672743	0.8097578	0.6191899	0.0056285	0.0033974	0.0214731	0.1065525	0.0511009	0.1136015	-25.525
7500000	5.1187791	3.2842034	2.6792351	1.6777299	1.2545404	0.8165909	0.6171770	0.0042240	0.0028125	0.0155824	0.0687811	0.0537578	0.1077013	-16.242
7505000	5.0010274	3.1920421	2.6468565	1.4067557	1.1707349	0.7973854	0.5639059	0.0046446	0.0031618	0.0203206	0.0827415	0.0706019	0.0977360	-22.457
7510000	5.0305514	3.2673582	2.6053523	1.3862778	1.2074029	0.7634434	0.5533197	0.0042662	0.0030237	0.0178232	0.0803142	0.0893730	0.0984111	-24.922
7515000	5.0776059	3.2495814	2.5919416	1.4437184	1.0198883	0.6427069	0.5306535	0.0052836	0.0034577	0.0210510	0.0512219	0.1178855	0.1294951	-19.224
7520000	5.0599193	3.2631929	2.6153620	1.4597429	1.1526153	0.7179494	0.5420788	0.0054619	0.0034525	0.0188002	0.0584979	0.0574125	0.0753498	-27.877
7525000	5.2539299	3.2519587	2.6083953	1.4088171	1.1885216	0.7495439	0.5448256	0.0050420	0.0035377	0.0200730	0.0967268	0.0931007	0.1353015	-18.452
7530000	5.1803671	3.3000674	2.6244595	1.3926587	1.1130221	0.7789653	0.5913283	0.0048422	0.0034688	0.0191923	0.0584622	0.1233382	0.0643225	-17.487
7535000	5.1496858	3.1887189	2.4586771	1.4721574	1.0977668	0.7065819	0.4710756	0.0051878	0.0036149	0.0199848	0.0786189	0.1068772	0.0983458	-14.227
7540000	5.3160595	3.2587071	2.4163975	1.3946000	1.1269135	0.8052250	0.6129151	0.0050054	0.0032271	0.0188899	0.0634629	0.0469779	0.0693169	-14.032
7545000	5.1392453	3.2632366	2.5797800	1.4248240	1.1007915	0.6967481	0.4985727	0.0050153	0.0033771	0.0176823	0.0429352	0.0771268	0.0734918	-18.963
7550000	5.2827777	3.1827040	2.6035161	1.4017861	1.1957399	0.8751859	0.6642261	0.0046332	0.0031020	0.0178776	0.0674400	0.0682693	0.0422161	-25.614
7555000	5.0704071	3.2618848	2.6319796	1.5499864	1.0839274	0.6916794	0.5392345	0.0055469	0.0034281	0.0165775	0.0491637	0.0502033	0.2693507	-24.038
7560000	5.0010279	3.2675664	2.5408534	1.4477641	1.1149676	0.6892009	0.5117617	0.0052838	0.0031931	0.0189019	0.0664703	0.1156593	0.1048202	-21.146
7565000	5.2725188	3.2877032	2.4001687	1.4112445	1.0404162	0.6362170	0.4700561	0.0062157	0.0039537	0.0181697	0.0986230	0.0787463	0.0588693	-21.041
7570000	5.0983807	3.2787052	2.7145819	1.8171811	1.2654127	0.8117725	0.5971876	0.0044557	0.0033001	0.0175375	0.1058800	0.2325598	0.2815573	-17.653
7575000	5.0376024	3.2252824	2.6530253	1.4864442	0.9634945	0.6110310	0.4603865	0.0052536	0.0036002	0.0192578	0.0652377	0.0977823	0.0630940	-20.737
7580000	5.1728477	3.2363392	2.5901857	1.3861688	1.0033488	0.6620175	0.5186364	0.0055697	0.0035513	0.0190071	0.0757925	0.0916235	0.0780580	-23.098
7585000	5.2383126	3.2823008	2.4502332	1.4375823	1.0645189	0.7393229	0.5597674	0.0049970	0.0033971	0.0181073	0.0816798	0.0603870	0.0791444	-22.378
7590000	5.0060906	3.2765150	2.6274410	1.4757889	1.0732239	0.7983891	0.6433299	0.0052220	0.0032568	0.0210897	0.0777550	0.0956153	0.1726615	-18.151
7595000	5.0514897	3.2758203	2.5249049	1.3991882	1.2708229	0.8907689	0.6981618	0.0046629	0.0032702	0.0164044	0.0247518	0.1127207	0.1170365	-28.319
7600000	5.0076422	3.2204761	2.5700148	1.4248125	1.0402828	0.6651301	0.5117375	0.0049208	0.0035411	0.0190302	0.0707690	0.1632495	0.0735519	-22.816
7605000	5.1861146	3.2770438	2.6048895	1.3903460	1.0377257	0.6800598	0.5330482	0.0047767	0.0044909	0.0220624	0.0630627	0.0960368	0.0781354	-18.552
7610000	5.1075793	3.2475614	2.6574708	1.3930824	1.1246953	0.6562267	0.5103984	0.0056560	0.0034633	0.0176755	0.1232222	0.0871786	0.0485200	-17.120
7615000	5.0186717	3.2756467	2.6890630	1.4037787	1.3006606	0.7643338	0.5631050	0.0047061	0.0027246	0.0192175	0.0799590	0.0733550	0.0914460	-14.397
7620000	5.0612478	3.1847744	2.4049311	1.4904400	1.0364503	0.6779447	0.4987673	0.0053582	0.0036432	0.0193152	0.1204443	0.1008595	0.0767694	-16.162
7625000	5.0448637	3.2886429	2.4773706	1.5092130	1.2901329	0.7473555	0.5704489	0.0054914	0.0032192	0.0166327	0.0691961	0.1000534	0.1069154	-16.069
7630000	5.0541110	3.2134989	2.3660008	1.4231628	1.0105207	0.6461461	0.4842166	0.0053244	0.0035533	0.0198689	0.0848324	0.0667812	0.0675198	-23.898
7635000	5.1775482	3.2739984	2.6483411	1.4847905	1.1100333	0.7088504	0.5372635	0.0045704	0.0035067	0.0174703	0.1049074	0.0795231	0.0782991	-14.457
7640000	5.0779586	3.2768933	2.4825458	1.4234523	1.1118783	0.7077888	0.5175096	0.0062859	0.0033471	0.0178076	0.1363558	0.0820754	0.0716897	-15.310
7645000	5.0236303	3.2595978	2.6648673	1.5754280	1.0692530	0.7599884	0.5120092	0.0048307	0.0035730	0.0212482	0.0578293	0.0913927	0.0649263	-23.312
7650000	5.0050369	3.2125734	2.4961073	1.3941203	1.0812554	0.7124873	0.5121107	0.0051124	0.0033262	0.0189779	0.0650262	0.0629670	0.0513309	-20.541
7655000	5.0475390	3.1601157	2.4509530	1.4389661	1.1098903	0.6734990	0.5069530	0.0051455	0.0036058	0.0195498	0.0320481	0.0564129	0.0923842	-17.660
7660000	5.2616316	3.2794509	2.7277962	1.4563522	1.0570226	0.7413573	0.5566647	0.0050705	0.0033287	0.0203523	0.1021307	0.0831767	0.0836562	-21.127
7665000	5.0105832	3.2298249	2.5991486	1.5220004	1.0707363	0.7140154	0.5482282	0.0051750	0.0030605	0.0187752	0.0462662	0.0583992	0.0561293	-22.242
7670000	5.1365452	3.2920383	2.6543152	1.4393037	1.0154411	0.6305236	0.4743420	0.0050561	0.0037654	0.0191281	0.0540542	0.0806983	0.0557751	-20.039
7675000	5.0700215	3.2090554	2.5746422	1.5147484	1.1226870	0.7160389	0.5395872	0.0052572	0.0037163	0.0163533	0.1402488	0.0483744	0.0947971	-21.818
7680000	5.2568791	3.2715881	2.5911678	1.4490083	1.2911681	0.7399284	0.5729980	0.0055064	0.0035157	0.0197215	0.0732221	0.0626904	0.1060829	-20.472
7685000	5.2818806	3.2965511	2.6166427	1.4686152	1.0974138	0.6936253	0.4623750	0.0050793	0.0028776	0.0192370	0.0635704	0.1008789	0.0741113	-14.808
7690000	5.2657242	3.2814980	2.7189001	1.5532498	0.9005543	0.5651368	0.4367355	0.0061138	0.0035799	0.0218482	0.1224925	0.1037434	0.0815756	-28.262
7695000	5.0454585	3.2097391	2.4215857	1.4317071	1.0287011	0.7069413	0.5510644	0.0048407	0.0037265	0.0190890	0.0726917	0.0539624	0.0725006	-19.709
7700000	5.2980418	3.2803996	2.6755658	1.4118072	1.2483362	0.8600858	0.6675482	0.0046904	0.0030650	0.0153076	0.0427659	0.0862326	0.0698198	-17.127
7705000	5.1654620	3.2771088	2.4436463	1.3814159	0.9859270	0.6697955	0.5182860	0.0056109	0.0037099	0.0209724	0.0657072	0.2003235	0.0671617	-20.243
7710000	5.1517624	3.2008786	2.5001010	1.4915393	1.2208798	0.6531123	0.5294206	0.0050493	0.0033100	0.0194119	0.1091062	0.0833216	0.0844725	-18.930
7715000	5.1320232	3.1546511	2.3895520	1.4379591	1.1150423	0.6603908	0.5714173	0.0053951	0.0037329	0.0204085	0.0633308	0.1505193	0.1811558	-14.522
7720000	5.0821010	3.1845488	2.4903973	1.5192304	1.0824278	0.6692520	0.5264927	0.0058500	0.0037285	0.0190061	0.0908183	0.1171652	0.0908285	-18.285
7725000	5.1195449	3.2659669	2.5811216	1.4197259	1.1220192	0.6104102	0.4220680	0.0051218	0.0037896	0.0213883	0.0742876	0.1283725	0.0902260	-14.923
7730000	5.0645940	3.1261575	2.4209826	1.4770055	1.0963674	0.6971763	0.5134694	0.0048984	0.0032582	0.0187615	0.0380193	0.1448932	0.0823820	-28.044
7735000	5.4613305	3.2447319	2.5449898	1.5020068	1.0582748	0.6500452	0.4746447	0.0050057	0.0036795	0.0187224	0.0848136	0.1548433	0.0953311	-23.330
7740000	5.1512238	3.2381116	2.4828351	1.5983434	1.0957944	0.7419161	0.5749368	0.0048529	0.0032089	0.0204111	0.0402881	0.0740837	0.1020784	-17.344
7745000	5.0373461	3.2776016	2.6176459	1.3953362	1.1913183	0.7651866	0.5958834	0.0048325	0.0031829	0.0196993	0.0777140	0.0610200	0.0590091	-14.147
7750000	5.0509168	3.2822557	2.4106514	1.5412120	1.0290977	0.6632290	0.5122532	0.0053748	0.0038423	0.0178397	0.0388768	0.0706178	0.1087594	-21.246
7755000	5.0086777	3.2105321	2.4405263	1.3937574	1.1061656	0.6341988	0.4690631	0.0049177	0.0040319	0.0192674	0.0720552	0.0687769	0.1497237	-18.042
7760000	5.0076076	3.2769432	2.6386833	1.3971090	0.9993412	0.7115195	0.5589556	0.0057706	0.0033820	0.0200520	0.0488330	0.0279432	0.0764166	-13.178
7765000	5.3216298	3.1913202	2.4436653	1.3904509	1.1918059	0.7844839	0.5932521	0.0045874	0.0038085	0.0198117	0.1055271	0.2161735	0.0783128	-19.739
7770000	5.0319452	3.2620777	2.7057093	1.6111931	1.1917538	0.8483506	0.6018134	0.0050394	0.0029941	0.0171869	0.0659109	0.1300957	0.1610339	-19.731
7775000	5.0503128	3.2388110	2.5555941	1.5382119	1.1192800	0.6673116	0.5443199	0.0054011	0.0034955	0.0196736	0.0993097	0.0984697	0.1250338	-15.970
7780000	5.1013267	3.2575788	2.4550315	1.3978445	1.0258701	0.7155921	0.5859413	0.0054936	0.0031195	0.0190098	0.1111343	0.0636708	0.0774766	-24.097
7785000	5.0244640	3.2642354	2.5579454	1.4408228	1.1696832	0.7111454	0.5034701	0.0044541	0.0033043	0.0170506	0.0599242	0.0566826	0.1526706	-16.802
7790000	5.3509178	3.2067654	2.5031090	1.5910595	0.9587279	0.6361745	0.4794440	0.0051918	0.0031558	0.0204227	0.0744555	0.1579709	0.1286291	-20.371
7795000	5.0413716	3.2675909	2.4445259	1.4074724	1.1251555	0.6782312	0.5432594	0.0049521	0.0029366	0.0182631	0.0492877	0.0746857	0.0614025	-20.965
7800000	5.1828605	3.2701892	2.5809198	1.3883166	1.1986016	0.8021680	0.6373066	0.0056947	0.0036258	0.0182079	0.0941589	0.0494551	0.0570474	-22.138
7805000	5.1335546	3.2194450	2.4239231	1.4625146	1.1095722	0.7519245	0.5597411	0.0048336	0.0033291	0.0187123	0.0568307	0.1181585	0.0570283	-13.215
7810000	5.0199693	3.2477534	2.6542762	1.4289596	0.9961139	0.7249059	0.5568010	0.0053597	0.0035585	0.0181593	0.0890235	0.0289542	0.0937736	-19.082
7815000	5.3190115	3.2785440	2.6322373	1.5258620	1.1341837	0.6666613	0.5001041	0.0046797	0.0031501	0.0189112	0.0749693	0.0591814	0.0680917	-24.373
7820000	5.5238009	3.2304241	2.6147376	1.3876758	1.1197961	0.6556053	0.4271208	0.0049552	0.0035330	0.0180170	0.0417045	0.0484663	0.0599130	-24.308
7825000	5.0571136	3.1036027	2.4606714	1.4331516	1.0093210	0.6385431	0.4967219	0.0052300	0.0038316	0.0190911	0.1783900	0.0513388	0.0418231	-14.969
7830000	5.1022698	3.2789625	2.5542968	1.4117197	1.1698006	0.7116534	0.5375209	0.0056058	0.0036707	0.0193157	0.0632747	0.0929733	0.0514124	-21.047
7835000	5.0756464	3.2775652	2.5277483	1.4566951	1.3300139	0.8549679	0.6459865	0.0051708	0.0031478	0.0164959	0.0814984	0.0651909	0.0753660	-23.194
7840000	5.1652201	3.2623237	2.4081351	1.4464649	1.0627167	0.7094853	0.5139947	0.0046635	0.0031210	0.0165475	0.0725749	0.0737018	0.1932335	-26.727
7845000	5.2269697	3.0943160	2.3739434	1.4662623	0.9674103	0.6456937	0.4978962	0.0053725	0.0039460	0.0200636	0.0683488	0.0755665	0.0583474	-17.118
7850000	5.1148969	3.1989434	2.4917132	1.5853028	1.0987359	0.7407920	0.5394359	0.0054755	0.0039509	0.0206076	0.1202991	0.0942028	0.0741291	-13.090
7855000	5.1337609	3.2517447	2.6104562	1.3885622	1.0224039	0.6829922	0.5315295	0.0047440	0.0038901	0.0193332	0.0656644	0.0694935	0.0542815	-19.438
7860000	5.1050021	3.2161120	2.5248104	1.5556541	1.1058571	0.7554433	0.5795302	0.0049293	0.0043692	0.0182538	0.0876898	0.1454821	0.0681899	-11.569
7865000	5.0344146	3.2800283	2.6273012	1.4443062	1.1118749	0.6466928	0.5031044	0.0051883	0.0035738	0.0228068	0.0561336	0.0374427	0.3020578	-13.774
7870000	5.0273749	3.2661007	2.5263895	1.3845279	1.1113142	0.7465021	0.5376419	0.0044494	0.0033124	0.0176688	0.1142319	0.0621076	0.1197209	-26.019
7875000	5.0911894	3.2722210	2.6429801	1.6313766	0.9917724	0.5910142	0.4310053	0.0053948	0.0035703	0.0213106	0.1200251	0.1062466	0.0797579	-14.494
7880000	5.0098889	3.2894667	2.6139491	1.3875137	1.0885851	0.6585234	0.5012555	0.0050267	0.0036786	0.0197355	0.0412005	0.0696857	0.1392574	-23.969
7885000	5.1483534	3.2781213	2.5812654	1.5699833	1.0721490	0.7235422	0.5594300	0.0048417	0.0036447	0.0208846	0.0440610	0.0631806	0.1041536	-23.214
7890000	5.1165795	3.2284510	2.6932522	1.4889307	0.9570007	0.6397657	0.4805507	0.0057794	0.0034168	0.0184947	0.0819180	0.1030008	0.0845320	-24.605
7895000	5.1938784	3.1971554	2.5650058	1.5037611	1.2144155	0.7614999	0.5784914	0.0053846	0.0034395	0.0196198	0.1261302	0.1139421	0.0834433	-18.191
7900000	5.1077796	3.2318708	2.6590865	1.3965940	0.9945251	0.6367513	0.5128872	0.0058230	0.0038532	0.0160110	0.0676030	0.1089492	0.2274546	-16.132
7905000	5.0012103	3.2114173	2.4769542	1.4353992	1.0582830	0.7142584	0.5807943	0.0048402	0.0033789	0.0197417	0.0549084	0.0548345	0.0935348	-18.123
7910000	5.0876620	3.2720422	2.5475862	1.3837869	0.9569279	0.6419627	0.5065242	0.0052421	0.0040890	0.0190134	0.0979747	0.1049251	0.1689473	-19.382
7915000	5.2906617	3.2256852	2.6425361	1.4139811	1.2602178	0.9845205	0.7503857	0.0048775	0.0033722	0.0209170	0.0902396	0.1085457	0.1942994	-15.643
7920000	5.0851425	3.2532801	2.5517972	1.3959761	1.0682778	0.7574606	0.5745605	0.0052283	0.0044989	0.0196049	0.0593169	0.2057361	0.1168429	-16.287
7925000	5.0229215	3.2810346	2.5964714	1.3883141	1.1557619	0.7203369	0.5339798	0.0050763	0.0037981	0.0173663	0.0400562	0.1470019	0.0299312	-23.406
7930000	5.0058888	3.2399941	2.5509281	1.4356303	1.0932807	0.6942144	0.5418874	0.0050955	0.0031474	0.0166138	0.1246414	0.1004548	0.2852433	-28.579
7935000	5.0580483	3.2666481	2.5753668	1.4355731	1.1205019	0.6980998	0.5520815	0.0050227	0.0037854	0.0189460	0.0834934	0.1217536	0.0834763	-15.292
7940000	5.1149209	3.2638238	2.5207928	1.5239662	1.1970370	0.7210786	0.5448294	0.0044830	0.0034791	0.0194062	0.0644072	0.0586719	0.0424582	-9.876
7945000	5.1345705	3.2449341	2.4182895	1.4831647	1.2395299	0.7596744	0.6243516	0.0047764	0.0032358	0.0189196	0.0533945	0.0715071	0.0580533	-17.720
7950000	5.0164790	3.2805292	2.6988902	1.4113549	1.1577417	0.7663080	0.5861114	0.0053964	0.0033621	0.0201465	0.0864920	0.0464028	0.0716077	-19.692
7955000	5.1935110	3.1601868	2.4845045	1.5497212	1.0522366	0.6708928	0.4862719	0.0058936	0.0033319	0.0196610	0.1169562	0.0981041	0.1613216	-16.351
7960000	5.1140431	3.2549375	2.6609953	1.5236808	1.0943175	0.7036746	0.5342514	0.0046146	0.0035547	0.0191752	0.0317271	0.0855832	0.1558327	-18.886
7965000	5.1167613	3.2866230	2.5508189	1.4549890	0.9963783	0.7820847	0.5853396	0.0049587	0.0040806	0.0187689	0.0593086	0.0993962	0.1092598	-18.589
7970000	5.1096560	3.2887472	2.5038369	1.4575610	1.1103525	0.7441541	0.5889628	0.0049151	0.0033406	0.0169303	0.0552980	0.0611748	0.1216930	-20.855
7975000	5.0770901	3.2344235	2.4796702	1.4315144	1.0841872	0.6237501	0.4539681	0.0052303	0.0038416	0.0192403	0.0717725	0.1494014	0.0520875	-18.585
7980000	5.0302905	3.2916595	2.5795927	1.5589932	1.0473750	0.7330252	0.5644804	0.0053430	0.0034009	0.0161542	0.0688187	0.1013222	0.0616649	-17.422
7985000	5.2679948	3.2141495	2.5769386	1.5197841	0.8917474	0.6022953	0.4342458	0.0058729	0.0045641	0.0212371	0.1181959	0.2875479	0.0872459	-18.738
7990000	5.2788458	3.2791895	2.5861481	1.4003425	1.0588759	0.6854905	0.4998713	0.0055356	0.0033173	0.0205237	0.0841441	0.0700149	0.0726803	-13.518
7995000	5.0010383	3.2737495	2.6347129	1.5076337	1.0985411	0.7013537	0.5380897	0.0055548	0.0031724	0.0190589	0.0548989	0.0400944	0.0635885	-16.091
8000000	5.0576709	3.2641399	2.5510181	1.4000853	1.1278115	0.7691222	0.6078343	0.0053740	0.0035734	0.0183386	0.1015784	0.0517441	0.0551679	-15.988
8005000	5.0523093	3.1278024	2.4775672	1.3882307	1.0246344	0.6098166	0.4083373	0.0061129	0.0044186	0.0185103	0.0963396	0.1427217	0.0742035	-22.464
8010000	5.1280180	3.2470231	2.5395123	1.4268673	1.0156029	0.7501189	0.5779559	0.0052215	0.0030356	0.0202585	0.0491483	0.1020361	0.2853900	-15.264
8015000	5.2005610	3.2590443	2.4920821	1.3932257	0.9959363	0.6927383	0.5562565	0.0057451	0.0036240	0.0215759	0.0720757	0.0743739	0.0625105	-14.788
8020000	5.0712102	3.2093925	2.4298271	1.3965979	1.0880923	0.6995422	0.5320712	0.0067301	0.0033249	0.0178719	0.1401893	0.0918129	0.1030486	-23.552
8025000	5.1761562	3.2725669	2.6041507	1.4209560	1.0772742	0.7474389	0.5881314	0.0057357	0.0034904	0.0159258	0.1127898	0.0529324	0.0877484	-15.431
8030000	5.0395653	3.2669490	2.5205754	1.4425177	1.0967078	0.7339043	0.5916820	0.0045392	0.0030760	0.0209767	0.0909406	0.0737627	0.0552674	-25.426
8035000	5.0461291	3.1401065	2.5376543	1.5541471	1.1183889	0.7741370	0.5964574	0.0057314	0.0030732	0.0189174	0.1386025	0.0685764	0.1130566	-20.758
8040000	5.0613870	3.2463584	2.5196827	1.4003089	1.1534944	0.7581316	0.5662668	0.0057980	0.0032985	0.0176386	0.0896483	0.0451273	0.1016769	-20.323
8045000	5.0646726	3.2307231	2.6213628	1.4150189	1.1433160	0.7805333	0.5937628	0.0052293	0.0032199	0.0200669	0.0739658	0.0641275	0.1362019	-16.047
8050000	5.0544676	3.1295558	2.3929092	1.3813487	0.9548124	0.5849914	0.4387162	0.0051288	0.0041133	0.0203575	0.0901954	0.0904833	0.0944373	-23.177
8055000	5.0162041	3.2656613	2.6663442	1.5649345	1.1510345	0.7555058	0.5824835	0.0051880	0.0034721	0.0184658	0.0989293	0.1468208	0.1545675	-14.841
8060000	5.0054436	3.2624924	2.5537746	1.5093222	1.0922153	0.7092656	0.5410240	0.0049566	0.0039092	0.0204570	0.0557285	0.0720094	0.1352794	-18.154
8065000	5.0221353	3.2543824	2.4344798	1.4144544	0.9825878	0.6561052	0.5049177	0.0060857	0.0043249	0.0183567	0.0917006	0.0998102	0.0823153	-22.666
8070000	5.0756247	3.1961767	2.4917013	1.4365560	1.1151546	0.7225801	0.5189314	0.0058200	0.0032207	0.0164638	0.0776643	0.1453666	0.0605593	-26.475
8075000	5.0179919	3.2290089	2.5743595	1.4323421	0.9498178	0.6249492	0.4684433	0.0051911	0.0033725	0.0195493	0.1077912	0.0807481	0.0678417	-24.273
8080000	5.0076586	3.2844392	2.5681000	1.4489553	1.0282377	0.6081521	0.4665374	0.0053137	0.0034818	0.0199451	0.0849105	0.0496942	0.0519743	-13.066
8085000	5.1651922	3.0539319	2.5436401	1.4579435	1.0223176	0.6410978	0.4821065	0.0050884	0.0035240	0.0198179	0.0697186	0.0719994	0.0817434	-25.945
8090000	5.2087288	3.2570943	2.5886570	1.4646571	1.0919595	0.7540665	0.5870203	0.0062755	0.0036724	0.0183782	0.1491180	0.0533398	0.1297900	-18.436
8095000	5.0575220	3.2624563	2.6492780	1.5754668	1.1324555	0.7757652	0.6150322	0.0048916	0.0029262	0.0183187	0.0931621	0.1072100	0.0638465	-21.504
8100000	5.0204729	3.2177759	2.6383918	1.4334008	1.0670664	0.6835659	0.4671663	0.0050525	0.0032842	0.0196276	0.0940301	0.0944033	0.1305825	-17.322
8105000	5.0902053	3.2606962	2.6935731	1.5097464	1.0208371	0.6544134	0.4869697	0.0055428	0.0034460	0.0152687	0.1250561	0.1034650	0.1596520	-20.100
8110000	5.1302404	3.1942135	2.3979735	1.4732174	0.8984841	0.5085053	0.3896749	0.0051877	0.0038730	0.0225187	0.0669034	0.0731370	0.0835137	-18.366
8115000	5.0680647	3.2153773	2.5199862	1.4728497	1.1008097	0.7183942	0.5613857	0.0049863	0.0034595	0.0176429	0.0527852	0.0447665	0.0407765	-23.107
8120000	5.0211388	3.2522238	2.6030425	1.4630326	1.2217127	0.7481893	0.5763163	0.0053221	0.0035591	0.0173860	0.0678172	0.0970596	0.1150862	-21.631
8125000	5.2099569	3.1842903	2.5350594	1.4935092	1.0365354	0.6854950	0.4817290	0.0054572	0.0038174	0.0180072	0.0841906	0.0787857	0.0610953	-23.858
8130000	5.0141726	3.2835275	2.6404857	1.4369277	1.2902195	0.7361091	0.5586197	0.0051552	0.0032705	0.0189230	0.0798280	0.1543970	0.0634626	-17.562
8135000	5.1007309	3.2645147	2.6840368	1.7603599	1.1800448	0.6519277	0.4874633	0.0053602	0.0027922	0.0181470	0.0651916	0.1545176	0.0760017	-20.517
8140000	5.3698109	3.2226214	2.4771159	1.4982775	1.2265522	0.7789420	0.6450324	0.0047270	0.0041268	0.0207084	0.0950676	0.4797615	0.1574674	-18.661
