Gen	t_n9	t_n10	t_n11	t_n12	t_n13	t_n14	t_n15	mu1	mu2	mu3	sigma2_1	sigma2_2	sigma2_3	lnL
155000	5.1860919	3.2263548	2.4450427	1.4673702	1.0229224	0.7037998	0.4923276	0.0053058	0.0036749	0.0207247	0.0421245	0.0828000	0.0733441	-10.703
160000	5.0279727	3.2156507	2.4412320	1.3895676	1.0388514	0.6783738	0.4812345	0.0054809	0.0034037	0.0188097	0.0564305	0.0489418	0.1341795	-12.167
165000	5.1080469	3.2785172	2.6584225	1.4559430	1.0176239	0.6896977	0.4517853	0.0044793	0.0039740	0.0157033	0.0979946	0.0957282	0.1812094	-22.826
170000	5.0164014	3.2723141	2.5406157	1.4297030	1.2568628	0.8806014	0.7125815	0.0050452	0.0030070	0.0184489	0.1255688	0.0512130	0.1009364	-16.854
175000	5.2507684	3.2208287	2.6580758	1.4337426	1.0500044	0.7163583	0.5880327	0.0044095	0.0031926	0.0184514	0.0716487	0.0532681	0.0503240	-11.751
180000	5.0439426	3.2791735	2.5287613	1.4752087	1.0062311	0.7382752	0.5722356	0.0055157	0.0034707	0.0198804	0.0760156	0.0546592	0.0617048	-14.258
185000	5.0211750	3.1896111	2.5630542	1.4212925	1.0243106	0.6675924	0.5017561	0.0054316	0.0033474	0.0195484	0.0394703	0.1093271	0.0997504	-21.015
190000	5.0648887	3.2766969	2.6370197	1.4022323	1.0318054	0.7407581	0.5775381	0.0053543	0.0036864	0.0187981	0.0364984	0.0621874	0.0920754	-15.889
195000	5.1451333	3.2480797	2.6205438	1.3916189	1.2284020	0.7211360	0.5778643	0.0044040	0.0036270	0.0200926	0.0418744	0.1392719	0.0851587	-24.464
200000	5.0271076	3.2793973	2.6030868	1.4301123	1.0716393	0.7303178	0.5882857	0.0059386	0.0034538	0.0206124	0.1674996	0.0697747	0.1221266	-19.292
205000	5.2924033	3.2463697	2.6160246	1.3825408	1.2405271	0.8046264	0.6646384	0.0049823	0.0033715	0.0185536	0.1015102	0.1047717	0.0949806	-25.288
210000	5.0861796	3.2682046	2.5223938	1.4907938	0.9483688	0.6650002	0.5312336	0.0059758	0.0033215	0.0206278	0.0777850	0.0865436	0.0733568	-29.558
215000	5.1308901	3.2665159	2.6523582	1.5109641	1.0182751	0.6026224	0.4299155	0.0053137	0.0041942	0.0207853	0.0469970	0.1565539	0.0661264	-20.033
220000	5.0391274	3.2022495	2.4654582	1.4234224	1.0739270	0.6691048	0.5189320	0.0053072	0.0034818	0.0195224	0.0454858	0.0717874	0.0957476	-24.369
225000	5.2599014	3.2759938	2.5857944	1.5675709	1.0333697	0.7433208	0.5318081	0.0051476	0.0037399	0.0191341	0.0725406	0.0946804	0.0739994	-22.810
230000	5.0800270	3.1486096	2.3741014	1.4464938	0.9292767	0.6605117	0.4584591	0.0051976	0.0036616	0.0195151	0.1113631	0.1046972	0.0699090	-17.581
235000	5.0513223	3.2621785	2.6658371	1.4895793	1.0798049	0.7124743	0.5434998	0.0055258	0.0030737	0.0192382	0.0510383	0.0967856	0.0886395	-18.300
240000	5.0933614	3.2691109	2.5176249	1.4239449	1.0842947	0.7175954	0.5207612	0.0045878	0.0034507	0.0188413	0.1174755	0.0391778	0.0739263	-19.698
245000	5.1247348	3.2305507	2.6623137	1.4573740	1.1345149	0.6795812	0.4891700	0.0055587	0.0036298	0.0188380	0.1055267	0.0547970	0.1220550	-19.000
250000	5.2938775	3.2548994	2.5921774	1.5744372	1.1144248	0.7432132	0.5383585	0.0047069	0.0033290	0.0170164	0.0721710	0.0511612	0.0920904	-18.539
255000	5.0712366	3.2753386	2.4890401	1.4742890	1.2018408	0.7789863	0.5920564	0.0046941	0.0032106	0.0188417	0.0551778	0.0436339	0.1176327	-24.633
260000	5.1600694	3.2755353	2.6572509	1.4308256	1.1379127	0.7136652	0.5264143	0.0051988	0.0033089	0.0172787	0.0466645	0.0910996	0.1196238	-18.108
265000	5.0242162	3.2331580	2.5004445	1.4867969	1.1457687	0.7873761	0.5567401	0.0051251	0.0030495	0.0186950	0.0447260	0.0897435	0.0790650	-23.749
270000	5.2002957	3.2226369	2.4944410	1.4054970	1.1110899	0.7051545	0.5456541	0.0050229	0.0036259	0.0190330	0.1783482	0.1375191	0.1003026	-16.054
275000	5.0543497	3.1911118	2.6114246	1.4756501	1.1278547	0.7371440	0.5132017	0.0046959	0.0032115	0.0192415	0.0457919	0.0762207	0.1287571	-12.780
280000	5.2665832	3.2636790	2.4602948	1.4201790	1.0084670	0.6668259	0.5227328	0.0056799	0.0036045	0.0193349	0.0615477	0.0541558	0.0682211	-17.455
